"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMER3","Americanas","2.264.800","5,63","+0,90%"
"BRAP4","Bradespar","2.189.300","23,64","+0,77%"
"DXCO3","Dexco","2.084.800","4,93","-1,79%"
"ALPA4","Alpargatas","2.046.300","11,07","-3,99%"
"EZTC3","EZTEC","2.035.000","13,64","-4,35%"
"SANB11","Banco Santander","2.014.100","30,76","-0,97%"
"FLRY3","Fleury","1.966.400","15,91","-0,06%"
"SBSP3","Sabesp","1.848.800","156,75","+0,47%"
"POSI3","Positivo","1.809.700","4,21","-1,41%"
"MYPK3","Iochpe-Maxion","1.694.600","8,91","-2,30%"
"JALL3","Jalles Machado","1.641.300","3,68","-2,39%"
"ALLD3","Allied","1.626.700","6,73","-2,46%"
"ISAE4","ISA Energia","1.586.700","29,08","+0,21%"
"JSLG3","JSL","1.584.700","8,00","+2,56%"
"EGIE3","Engie","1.555.600","33,14","-0,48%"
"BMGB4","Banco BMG","1.544.400","5,33","+0,57%"
"IGTI11","Iguatemi","1.534.700","27,92","+0,14%"
"IGTI11","Jereissati Participações","1.534.700","27,92","+0,14%"
"CBAV3","CBA","1.514.200","10,54","+0,38%"
"FIQE3","Unifique","1.408.700","6,93","+1,61%"
"KEPL3","Kepler Weber","1.384.600","7,92","-1,37%"
"HBOR3","Helbor","1.383.700","2,30","-4,17%"
"PSSA3","Porto Seguro","1.339.000","50,33","+0,18%"
"ITUB3","Itaú Unibanco","1.314.700","43,26","+0,79%"
"PINE4","Banco Pine","1.275.500","14,00","-1,62%"
"SAPR4","Sanepar","1.275.500","8,80","+1,15%"
"MILS3","Mills","1.222.700","13,58","-1,95%"
"DASA3","Dasa","1.214.500","3,12","+1,30%"
"SEER3","Ser Educacional","1.144.900","13,18","+1,07%"
"NEOE3","Neoenergia","1.103.000","33,42","-0,03%"
"SOJA3","Boa Safra Sementes","1.057.800","7,13","-3,39%"
"HBSA3","Hidrovias do Brasil","1.042.600","3,84","-2,04%"
"AXIA6","Axia Energia","1.021.400","65,05","+0,48%"
"BRSR6","Banrisul","1.020.000","17,69","-0,84%"
"ARML3","Armac","1.016.900","5,08","-3,42%"
"CSED3","Cruzeiro do Sul Educacional","982.200","5,70","-0,70%"
"OPCT3","OceanPact","968.500","10,46","+3,46%"
"VULC3","Vulcabras","963.100","16,79","-1,58%"
"CASH3","Méliuz","912.400","3,83","-0,26%"
"TTEN3","3tentos","911.000","15,84","-0,31%"
"MLAS3","Multilaser","905.200","1,29","-2,27%"
"IRBR3","IRB Brasil RE","806.500","54,04","-1,08%"
"CAML3","Camil Alimentos","788.100","6,48","-2,26%"
"CPFE3","CPFL Energia","777.700","48,85","+1,03%"
"TUPY3","Tupy","768.300","12,79","-0,31%"
"SYNE3","SYN","758.200","4,06","-2,64%"
"GFSA3","Gafisa","737.400","1,48","-2,63%"
"POMO3","Marcopolo","678.500","5,84","-0,34%"
"WIZC3","Wiz Soluções","672.300","9,29","+0,98%"
"PMAM3","Paranapanema","635.800","0,50","+0,00%"
"CYRE4","Cyrela","633.800","23,40","-5,65%"
"ABCB4","Banco ABC Brasil","632.400","26,12","-0,42%"
"SBFG3","Grupo SBF","627.600","12,15","-1,06%"
"FESA4","Ferbasa","627.100","8,01","+0,50%"
"RANI3","Irani","622.200","9,31","-1,27%"
"PNVL3","Dimed","610.400","14,07","-2,22%"
"PTBL3","Portobello","608.100","2,40","-0,41%"
"MELK3","Melnick","606.000","3,47","-0,86%"
"VLID3","Valid","595.800","19,90","-0,60%"
"SHUL4","Schulz","580.200","5,08","+0,20%"
"PRNR3","Priner","578.000","19,82","-0,20%"
"HBRE3","HBR Realty","569.500","2,99","+0,67%"
"RENT4","Localiza","549.800","44,92","-0,09%"
"TOKY3","Toky","537.800","0,36","-5,26%"
"BMOB3","Bemobi","519.400","26,66","-1,26%"
"BLAU3","Blau Farmacêutica","508.400","10,62","-0,65%"
"VIVR3","Viver","493.300","0,38","+0,00%"
"OIBR3","Oi","478.000","0,16","+6,67%"
"LAVV3","Lavvi Incorporadora","476.900","13,85","-3,69%"
"VVEO3","Viveo","464.600","1,41","+1,44%"
"TFCO4","Track & Field","440.000","15,38","-2,23%"
"ESPA3","Espaçolaser","432.600","1,15","+0,88%"
"VTRU3","VITRUBREPCOM","423.700","13,97","-4,90%"
"BRST3","Brisanet","421.100","3,07","-3,15%"
"LOGG3","LOG CP","420.600","27,19","-2,09%"
"ROMI3","Indústrias ROMI","396.700","7,14","-3,90%"
"AZEV3","Azevedo & Travassos","380.800","0,22","-4,35%"
"ALUP11","Alupar","378.600","35,19","+0,17%"
"DESK3","Desktop","376.900","18,09","+1,06%"
"TRIS3","Trisul","361.900","5,61","-2,77%"
"TASA4","Taurus","345.900","5,00","-1,77%"
