book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
daytrade-cobertura-15,66,1D,CMIG4,1.5,3.0,1,8,5,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,773.3497198959356,asset_long_open_tp1_5_sl3_cap1__3f__prev_ret_20d=up_3_5__positive_days_5d=soft_weak__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 20D: alta de 3% a 5%; Dias positivos nos ultimos 5 pregoes: 2 dias positivos em 5D; Dia da semana: terca-feira",open,long,Retorno acumulado 20D: alta de 3% a 5%; Dias positivos nos ultimos 5 pregoes: 2 dias positivos em 5D; Dia da semana: terca-feira,"prev_ret_20d,positive_days_5d,day_of_week",2025-08-26,2026-03-31
daytrade-cobertura-15,37,1D,CMIN3,1.5,3.0,1,11,8,90.9090909090909,100.0,90.9090909090909,100.0,1.0909090909090908,1.5,5.0000,INF,713.6493232994476,asset_long_open_tp1_5_sl3_cap1__3f__prev_ret_1d=flat__sma50_slope_10d=near__intraday_return_prev=up_1_3,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 1D: neutro; Inclinacao da MM50 em 10D: perto do equilibrio; Retorno intraday do candle de referencia: alta de 1% a 3%",open,long,Retorno acumulado 1D: neutro; Inclinacao da MM50 em 10D: perto do equilibrio; Retorno intraday do candle de referencia: alta de 1% a 3%,"prev_ret_1d,sma50_slope_10d,intraday_return_prev",2025-05-27,2026-03-20
daytrade-cobertura-15,50,1D,CPFE3,1.5,3.0,1,10,8,90.0,100.0,90.0,100.0,1.23293,1.5,11.5316,INF,738.5565136061045,asset_long_open_tp1_5_sl3_cap1__2f__prev_ret_3d=flat__range_position_10d=near_high,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 3D: neutro; Posicao no range 10D: fechou perto da maxima",open,long,Retorno acumulado 3D: neutro; Posicao no range 10D: fechou perto da maxima,"prev_ret_3d,range_position_10d",2025-05-26,2026-04-08
daytrade-cobertura-15,38,1D,CPLE3,1.5,3.0,1,11,7,90.9090909090909,100.0,90.9090909090909,100.0,1.3309909090909091,1.5,41.7711,INF,764.1212142085385,asset_long_open_tp1_5_sl3_cap1__3f__gap_pct=flat__prev_ret_3d=dn_1_3__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Gap da abertura: neutro; Retorno acumulado 3D: queda de 1% a 3%; Dia da semana: terca-feira",open,long,Gap da abertura: neutro; Retorno acumulado 3D: queda de 1% a 3%; Dia da semana: terca-feira,"gap_pct,prev_ret_3d,day_of_week",2025-06-24,2026-03-31
daytrade-cobertura-15,25,1D,CSNA3,1.5,3.0,1,12,8,91.66666666666666,100.0,91.66666666666666,100.0,1.125,1.5,5.5000,INF,710.4667833017143,asset_long_open_tp1_5_sl3_cap1__3f__range_position_10d=middle__day_of_week=tue__volume_spike_1d=very_low,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Posicao no range 10D: fechou no meio; Dia da semana: terca-feira; Spike de volume vs maximo 5D: muito baixo",open,long,Posicao no range 10D: fechou no meio; Dia da semana: terca-feira; Spike de volume vs maximo 5D: muito baixo,"range_position_10d,day_of_week,volume_spike_1d",2025-05-20,2026-04-14
daytrade-cobertura-15,40,1D,CURY3,1.5,3.0,1,11,5,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,780.4561414812658,asset_long_open_tp1_5_sl3_cap1__2f__sma20_slope_5d=dn_1_5__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Inclinacao da MM20 em 5D: abaixo leve; Dia da semana: terca-feira",open,long,Inclinacao da MM20 em 5D: abaixo leve; Dia da semana: terca-feira,"sma20_slope_5d,day_of_week",2025-10-14,2026-05-12
daytrade-cobertura-15,51,1D,DIRR3,1.5,3.0,1,10,6,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,777.5,asset_long_open_tp1_5_sl3_cap1__3f__volume_ratio_20d=normal__range_position_10d=upper_band__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Volume vs media 20D: normal; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",open,long,Volume vs media 20D: normal; Posicao no range 10D: fechou na metade superior; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"volume_ratio_20d,range_position_10d,positive_days_5d",2025-05-23,2026-02-02
daytrade-cobertura-15,52,1D,EGIE3,1.5,3.0,1,10,6,90.0,100.0,90.0,100.0,1.26304,1.5,15.5244,INF,738.729617074517,asset_long_open_tp1_5_sl3_cap1__3f__gap_pct=flat__rsi_14=neutral_high__atr_return_5d=rel_shock_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Gap da abertura: neutro; RSI 14 periodos: RSI neutro alto; Retorno 5D normalizado por ATR: muito acima do normal",open,long,Gap da abertura: neutro; RSI 14 periodos: RSI neutro alto; Retorno 5D normalizado por ATR: muito acima do normal,"gap_pct,rsi_14,atr_return_5d",2025-05-20,2026-04-07
daytrade-cobertura-15,15,1D,ENEV3,1.5,3.0,1,13,10,92.3076923076923,100.0,100.0,100.0,1.4220461538461537,1.5,INF,INF,789.9248186133266,asset_long_open_tp1_5_sl3_cap1__3f__prev_ret_1d=flat__gap_vs_atr14=rel_near__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 1D: neutro; Gap vs ATR14: perto do normal; Dia da semana: terca-feira",open,long,Retorno acumulado 1D: neutro; Gap vs ATR14: perto do normal; Dia da semana: terca-feira,"prev_ret_1d,gap_vs_atr14,day_of_week",2025-06-03,2026-05-05
daytrade-cobertura-15,63,1D,ENGI11,1.5,3.0,1,9,8,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,788.3157582573327,asset_long_open_tp1_5_sl3_cap1__3f__intraday_return_prev=up_1_3__drawdown_5d=dd_1_3__streak_direction=up_2_3,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno intraday do candle de referencia: alta de 1% a 3%; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Sequencia de altas/quedas: alta em 2 a 3 pregoes seguidos",open,long,Retorno intraday do candle de referencia: alta de 1% a 3%; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Sequencia de altas/quedas: alta em 2 a 3 pregoes seguidos,"intraday_return_prev,drawdown_5d,streak_direction",2025-05-26,2026-03-11
daytrade-cobertura-15,67,1D,EQTL3,1.5,3.0,1,8,6,100.0,100.0,100.0,100.0,1.5,1.5,INF,INF,776.7247198959356,asset_long_open_tp1_5_sl3_cap1__3f__sma20_vs_sma50=up_1_5__range_position_10d=middle__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | MM20 vs MM50: acima leve; Posicao no range 10D: fechou no meio; Dia da semana: terca-feira",open,long,MM20 vs MM50: acima leve; Posicao no range 10D: fechou no meio; Dia da semana: terca-feira,"sma20_vs_sma50,range_position_10d,day_of_week",2025-06-03,2026-03-17
daytrade-cobertura-15,53,1D,FLRY3,1.5,3.0,1,10,6,90.0,100.0,100.0,100.0,1.42812,1.5,INF,INF,760.38744,asset_long_open_tp1_5_sl3_cap1__2f__range_position_20d=lower_band__day_of_week=tue,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Posicao no range 20D: fechou na metade inferior; Dia da semana: terca-feira",open,long,Posicao no range 20D: fechou na metade inferior; Dia da semana: terca-feira,"range_position_20d,day_of_week",2025-10-14,2026-05-12
daytrade-cobertura-15,12,1D,GGBR4,1.5,3.0,1,14,6,92.85714285714286,90.9090909090909,92.85714285714286,90.9090909090909,1.1785714285714286,1.0909090909090908,6.5000,5.0000,595.6982450646467,asset_long_open_tp1_5_sl3_cap1__3f__prev_ret_1d=flat__prev_ret_3d=flat__prev_ret_20d=shock_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 1D: neutro; Retorno acumulado 3D: neutro; Retorno acumulado 20D: choque de alta",open,long,Retorno acumulado 1D: neutro; Retorno acumulado 3D: neutro; Retorno acumulado 20D: choque de alta,"prev_ret_1d,prev_ret_3d,prev_ret_20d",2025-10-27,2026-05-15
daytrade-cobertura-15,54,1D,GOAU4,1.5,3.0,1,10,8,90.0,100.0,100.0,100.0,1.4032499999999999,1.5,INF,INF,786.3389999999999,asset_long_open_tp1_5_sl3_cap1__3f__prev_ret_1d=up_1_3__day_of_week=tue__atr_return_1d=rel_soft_up,"Discovery Acao: compra no open, alvo +1.5% / stop -3% / cap 1D | Retorno acumulado 1D: alta de 1% a 3%; Dia da semana: terca-feira; Retorno 1D normalizado por ATR: levemente acima",open,long,Retorno acumulado 1D: alta de 1% a 3%; Dia da semana: terca-feira; Retorno 1D normalizado por ATR: levemente acima,"prev_ret_1d,day_of_week,atr_return_1d",2025-07-01,2026-02-03
