book,priority,cap,ticker,target_pct,stop_pct,time_cap_days,trades,active_months,take_profit_rate_pct,test_take_profit_rate_pct,profitable_rate_pct,test_profitable_rate_pct,average_trade_return_pct,test_average_trade_return_pct,profit_factor,test_profit_factor,score,strategy_code,strategy_label,entry_rule,trade_direction,state_signature,feature_keys,first_trade_date,last_trade_date
swing-cobertura-7d-4,41,7D,CYRE3,4.0,8.0,7,10,5,90.0,100.0,100.0,100.0,3.6638800000000002,4.0,INF,INF,895.8237028571428,asset_long_open_tp4_sl8_cap7__3f__prev_ret_10d=shock_up__drawdown_5d=dd_1_3__positive_days_5d=strong,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno acumulado 10D: choque de alta; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D",open,long,Retorno acumulado 10D: choque de alta; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D,"prev_ret_10d,drawdown_5d,positive_days_5d",2025-08-29,2026-02-02
swing-cobertura-7d-4,31,7D,ENEV3,4.0,8.0,7,12,4,91.66666666666666,100.0,100.0,100.0,3.7095583333333337,4.0,INF,INF,865.5925944128253,asset_long_open_tp4_sl8_cap7__2f__close_vs_sma50=dn_1_5__range_position_20d=middle,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio",open,long,Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio,"close_vs_sma50,range_position_20d",2025-07-16,2026-03-09
swing-cobertura-7d-4,42,7D,ENGI11,4.0,8.0,7,10,4,90.0,100.0,100.0,100.0,3.7285200000000005,4.0,INF,INF,881.24224,asset_long_open_tp4_sl8_cap7__2f__prev_ret_20d=flat__bb_position_20=upper_band,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno acumulado 20D: neutro; Posicao nas Bandas de Bollinger 20D: fechou na metade superior",open,long,Retorno acumulado 20D: neutro; Posicao nas Bandas de Bollinger 20D: fechou na metade superior,"prev_ret_20d,bb_position_20",2025-09-05,2026-04-08
swing-cobertura-7d-4,32,7D,GGBR4,4.0,8.0,7,12,9,91.66666666666666,100.0,100.0,100.0,3.7964083333333334,4.0,INF,INF,910.8313756094066,asset_long_open_tp4_sl8_cap7__3f__positive_days_10d=neutral__atr_return_5d=rel_up__volume_spike_1d=very_low,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Retorno 5D normalizado por ATR: acima do normal; Spike de volume vs maximo 5D: muito baixo",open,long,Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Retorno 5D normalizado por ATR: acima do normal; Spike de volume vs maximo 5D: muito baixo,"positive_days_10d,atr_return_5d,volume_spike_1d",2025-05-29,2026-05-04
swing-cobertura-7d-4,33,7D,GOAU4,4.0,8.0,7,12,7,91.66666666666666,100.0,91.66666666666666,100.0,3.541891666666667,4.0,29.3862,INF,898.3785742108051,asset_long_open_tp4_sl8_cap7__3f__gap_pct=flat__prev_ret_5d=up_3_5__positive_days_10d=neutral,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Gap da abertura: neutro; Retorno acumulado 5D: alta de 3% a 5%; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",open,long,Gap da abertura: neutro; Retorno acumulado 5D: alta de 3% a 5%; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"gap_pct,prev_ret_5d,positive_days_10d",2025-07-04,2026-05-05
swing-cobertura-7d-4,28,7D,HYPE3,4.0,8.0,7,13,8,100.0,100.0,100.0,100.0,4.0,4.0,INF,INF,925.5782134851213,asset_long_open_tp4_sl8_cap7__3f__intraday_return_prev=up_1_3__atr_return_1d=rel_near__volume_spike_1d=very_low,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno intraday do candle de referencia: alta de 1% a 3%; Retorno 1D normalizado por ATR: perto do normal; Spike de volume vs maximo 5D: muito baixo",open,long,Retorno intraday do candle de referencia: alta de 1% a 3%; Retorno 1D normalizado por ATR: perto do normal; Spike de volume vs maximo 5D: muito baixo,"intraday_return_prev,atr_return_1d,volume_spike_1d",2025-05-19,2026-04-28
swing-cobertura-7d-4,15,7D,IGTI11,4.0,8.0,7,17,5,94.11764705882352,100.0,94.11764705882352,100.0,3.4965882352941176,4.0,14.0412,INF,876.0505716828818,asset_long_open_tp4_sl8_cap7__3f__sma20_vs_sma50=near__sma50_slope_10d=up_1_5__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: acima leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima",open,long,MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: acima leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma20_vs_sma50,sma50_slope_10d,drawdown_5d",2025-07-18,2026-03-19
swing-cobertura-7d-4,37,7D,IRBR3,4.0,8.0,7,11,6,90.9090909090909,100.0,90.9090909090909,100.0,3.5000454545454547,4.0,26.6756,INF,857.6883302924546,asset_long_open_tp4_sl8_cap7__3f__sma20_vs_sma50=dn_1_5__positive_days_10d=neutral__day_of_week=tue,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: abaixo leve; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Dia da semana: terca-feira",open,long,MM20 vs MM50: abaixo leve; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D; Dia da semana: terca-feira,"sma20_vs_sma50,positive_days_10d,day_of_week",2025-05-20,2026-05-05
swing-cobertura-7d-4,43,7D,ISAE4,4.0,8.0,7,10,6,90.0,100.0,90.0,100.0,3.5956699999999997,4.0,831.4088,INF,891.8147066666667,asset_long_open_tp4_sl8_cap7__3f__sma5_vs_sma20=up_1_5__close_vs_ema21=up_1_5__atr_return_1d=rel_up,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM5 vs MM20: acima leve; Fechamento vs EMA21: acima leve; Retorno 1D normalizado por ATR: acima do normal",open,long,MM5 vs MM20: acima leve; Fechamento vs EMA21: acima leve; Retorno 1D normalizado por ATR: acima do normal,"sma5_vs_sma20,close_vs_ema21,atr_return_1d",2025-08-29,2026-04-09
swing-cobertura-7d-4,16,7D,LREN3,4.0,8.0,7,17,6,94.11764705882352,100.0,94.11764705882352,100.0,3.2941176470588234,4.0,8.0000,INF,849.9024149004379,asset_long_open_tp4_sl8_cap7__2f__close_vs_sma50=dn_5_10__range_position_10d=middle,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Fechamento vs MM50: abaixo forte; Posicao no range 10D: fechou no meio",open,long,Fechamento vs MM50: abaixo forte; Posicao no range 10D: fechou no meio,"close_vs_sma50,range_position_10d",2025-08-05,2026-05-06
swing-cobertura-7d-4,38,7D,MBRF3,4.0,8.0,7,11,4,90.9090909090909,100.0,90.9090909090909,100.0,2.909090909090909,4.0,5.0000,INF,817.0714012215255,asset_long_open_tp4_sl8_cap7__2f__prev_ret_10d=shock_up__bb_position_20=upper_band,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Retorno acumulado 10D: choque de alta; Posicao nas Bandas de Bollinger 20D: fechou na metade superior",open,long,Retorno acumulado 10D: choque de alta; Posicao nas Bandas de Bollinger 20D: fechou na metade superior,"prev_ret_10d,bb_position_20",2025-10-31,2026-04-07
swing-cobertura-7d-4,13,7D,MOTV3,4.0,8.0,7,18,5,100.0,100.0,100.0,100.0,4.0,4.0,INF,INF,898.5421800408265,asset_long_open_tp4_sl8_cap7__3f__sma20_vs_sma50=dn_1_5__sma50_slope_10d=near__drawdown_10d=dd_3_6,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Queda desde maxima 10D: 3% a 6% abaixo da maxima",open,long,MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Queda desde maxima 10D: 3% a 6% abaixo da maxima,"sma20_vs_sma50,sma50_slope_10d,drawdown_10d",2025-07-31,2026-04-10
swing-cobertura-7d-4,25,7D,MULT3,4.0,8.0,7,14,5,92.85714285714286,100.0,100.0,100.0,3.8271857142857146,4.0,INF,INF,894.6984274600292,asset_long_open_tp4_sl8_cap7__2f__close_vs_sma50=near__range_position_20d=upper_band,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Fechamento vs MM50: perto do equilibrio; Posicao no range 20D: fechou na metade superior",open,long,Fechamento vs MM50: perto do equilibrio; Posicao no range 20D: fechou na metade superior,"close_vs_sma50,range_position_20d",2025-08-11,2026-04-06
swing-cobertura-7d-4,35,7D,POMO4,4.0,8.0,7,12,5,91.66666666666666,100.0,91.66666666666666,100.0,3.0,4.0,5.5000,INF,844.633449968381,asset_long_open_tp4_sl8_cap7__3f__sma20_slope_5d=dn_1_5__drawdown_10d=dd_3_6__close_vs_ema21=dn_1_5,"Discovery Acao: compra no open, alvo +4% / stop -8% / cap 7D | Inclinacao da MM20 em 5D: abaixo leve; Queda desde maxima 10D: 3% a 6% abaixo da maxima; Fechamento vs EMA21: abaixo leve",open,long,Inclinacao da MM20 em 5D: abaixo leve; Queda desde maxima 10D: 3% a 6% abaixo da maxima; Fechamento vs EMA21: abaixo leve,"sma20_slope_5d,drawdown_10d,close_vs_ema21",2025-10-14,2026-03-31
